name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1620869102143557739,0,0,3018429
water_meter,1620869402276066969,0,0,3018429
water_meter,1620869702432660215,0,0,3018429
water_meter,1620870002553003559,0,0,3018429
water_meter,1620870302683235036,0,0,3018429
water_meter,1620870602812081417,0,0,3018429
water_meter,1620870902884362928,0,0,3018429
water_meter,1620871203023504750,0,0,3018429
water_meter,1620871503066935932,0,0,3018429
water_meter,1620871803202620392,0,0,3018429
water_meter,1620872103346459463,0,0,3018429
water_meter,1620872403472669165,0,0,3018429
water_meter,1620872703513623245,0,0,3018429
water_meter,1620873003574014543,0,0,3018429
water_meter,1620873303692909243,0,0,3018429
water_meter,1620873603825514682,0,0,3018429
water_meter,1620873903954926956,0,0,3018429
water_meter,1620874204063311196,0,0,3018429
water_meter,1620874504193942028,0,0,3018429
water_meter,1620874804304034141,0,0,3018429
water_meter,1620875104440025289,0,0,3018429
water_meter,1620875404494255792,0,0,3018429
water_meter,1620875704563829522,0,0,3018429
water_meter,1620876004695360231,0,0,3018429
water_meter,1620876304821245608,0,0,3018429
water_meter,1620876604874362315,0,0,3018429
water_meter,1620876905005425388,0,0,3018429
water_meter,1620877205074231169,0,0,3018429
water_meter,1620877505193445285,0,0,3018429
water_meter,1620877805308265775,0,0,3018429
water_meter,1620878105445500584,0,0,3018429
water_meter,1620878405563660055,0,0,3018429
water_meter,1620878705673751278,0,0,3018429
water_meter,1620879306315705734,0,0,3018429
water_meter,1620879606452165355,0,0,3018429
water_meter,1620879906564390670,0,0,3018429
water_meter,1620880206692957358,0,0,3018429
water_meter,1620880506812103366,0,0,3018429
water_meter,1620880806882376724,0,0,3018429
water_meter,1620881107023009462,0,0,3018429
water_meter,1620881407062811708,0,0,3018429
water_meter,1620881707168194818,0,0,3018429
water_meter,1620882007296480507,0,0,3018429
water_meter,1620882307427751573,0,0,3018429
water_meter,1620882607512396392,0,0,3018429
water_meter,1620882907584598012,0,0,3018429
water_meter,1620883207666833014,0,0,3018429
water_meter,1620883507712744149,0,0,3018429
water_meter,1620883807822836283,0,0,3018429
water_meter,1620884107923667645,0,0,3018429
water_meter,1620884408043702989,0,0,3018429
water_meter,1620884708094759973,0,0,3018429
water_meter,1620885008163360353,0,0,3018429
water_meter,1620885308229643062,0,0,3018429
water_meter,1620885608315011366,0,0,3018429
water_meter,1620885908395542237,0,0,3018429
